NFCSID,A1,Retirement_Account,Contribute_Retirement,Own_Stocks,B2_2,Own_MutualFunds,Own_ETFs,Own_Annuities,B2_7,B2_20,Own_REITs,B2_22,B2_23,B2_24,B2_25,B3,B4,B5,B6,B20,B21,Risk_Tolerance,B11,B23,B24,B25,B26,C20_1,C20_2,C20_3,C20_4,C20_5,Advisor_Approval,C22_1,C22_2,C22_3,C22_4,C23_1,C23_2,C23_3,C23_4,C24,Fee_Confidence,C26,C7,Market_Confidence_LongTerm,Market_Fairness_Confidence,D2,Market_Performance,D20,D21,D4,E1_1,E20,E5,E6,F1_1,F1_2,F1_3,F1_4,F1_5,F1_6,F1_7,F1_8,F1_9,F2_1,F2_2,F2_5,F2_6,F2_20,F2_21,F2_22,F3_1,F3_2,F3_3,F3_4,F3_5,F3_6,F3_7,F3_8,F4,F5,F20,Investing_Comfort,Financial_Comfort,G20,Stock_Ownership_Knowledge,G5,Stock_vs_Bond_Knowledge,Financial_Knowledge_TrueFalse,G21,Risk_Perception_Knowledge,G22,G11,G12,G13,H2,H3,WGT1,Gender,Age Group,Ethnicity,Education,Annual Income,Investing_Comfort_score,Financial_Comfort_score,Market_Confidence_LongTerm_score,Market_Fairness_Confidence_score,Fee_Confidence_score,Own_Stocks_score,Own_MutualFunds_score,Own_ETFs_score,Own_Annuities_score,Own_REITs_score,Retirement_Account_score,Contribute_Retirement_score,Risk_Tolerance_score,Market_Performance_score,Advisor_Approval_score,Stock_Ownership_Knowledge_score,Stock_vs_Bond_Knowledge_score,Financial_Knowledge_TrueFalse_score,Risk_Perception_Knowledge_score,Total_Score,FinLit_Level
2018013694,Primary decision-maker,1,1,1,Don't know,98,1,2,No,Yes,1,Yes,No,Yes,Yes,4 to 10 times,"$10,000 to < $25,000",Don't know,No Response Given,No Response Given,Yes,1,Less than half,No,No Response Given,No Response Given,No Response Given,Sometimes,Don't know,Frequently,Never,Sometimes,1.0,Sometimes,Sometimes,Sometimes,Sometimes,Yes,Yes,Don't know,Yes,1% to < 2%,6.0,Yes,Yes,10,6,20% or more,3,Bought,Buy,7 - Strongly agree,9,Yes,Both,Paper mail,Yes,Don't know,No,Yes,Yes,Yes,No,No,No,Yes,Don't know,Yes,Yes,No,No,No,Yes,Don't know,Yes,Yes,No,No,No,No,Yes,No,No Response Given,10,1,7 - Strongly agree,3,Own a part of the company,2,1,False,1,Lower fees/expenses,Greater demand,$500,Sell before peak,Yes,Yes,2.714459446,2,1,2,1,1,10,1,10,6,6.0,3,0,3,1,3,3,3,5,5,5.0,0,2,2,2,70.0,High
2018013716,Primary decision-maker,1,1,1,No,1,2,2,No,No,2,No,No,No,No,4 to 10 times,"$25,000 to < $50,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,Yes,Yes,Never,Sometimes,Frequently,Sometimes,Sometimes,No Response Given,Never,Sometimes,Sometimes,Sometimes,No,Yes,No,Yes,Less than 0.5%,10.0,Don't know,No,6,6,5% to 9.9%,2,Bought,Don't know,4 - Neither agree nor disagree,6,Don't know,Both,Email delivery,Don't know,Yes,Yes,Yes,Yes,Don't know,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No Response Given,No,No Response Given,8,5,6,1,Lent money to the company,2,98,False,1,Lower fees/expenses,Lower risk,$500,Sell borrowed shares,Yes,No,0.874876747,1,2,2,2,3,8,5,6,6,10.0,3,3,1,1,1,3,3,2,3,No Response Given,2,2,0,2,61.0,Average
2018013718,Share decision-making,1,1,2,No,2,2,2,No,No,2,No,No,No,No,1 to 3 times,"$5,000 to < $10,000",No,No Response Given,No Response Given,No,2,Less than half,No,No Response Given,No Response Given,No Response Given,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Never,Sometimes,Yes,Yes,Yes,Yes,4% or more,5.0,Yes,Yes,10,10,20% or more,2,Sold,Sell,5,10 - Extremely confident,Yes,Protecting institutions,Paper mail,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No Response Given,No Response Given,No Response Given,5,5,4 - Neither agree nor disagree,1,Lent money to the company,1,1,True,3,Lower fees/expenses,Greater demand,$500,Sell soon after buying,No,No,2.714459446,1,1,1,1,1,5,5,10,10,5.0,1,1,1,1,1,3,3,4,3,No Response Given,2,0,2,0,57.0,Average
2018013725,Primary decision-maker,1,1,98,Yes,1,98,1,Don't know,Yes,98,Don't know,Don't know,Don't know,Don't know,None,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,Don't know,3,Don't know,No,No Response Given,No Response Given,No Response Given,Sometimes,Never,Never,Never,Never,1.0,Never,Never,Never,Never,Yes,Yes,Yes,Yes,Don't know,No Response Given,No,No,9,99,Don't know,98,Neither,Neither,4 - Neither agree nor disagree,6,No,Both,Paper mail,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,6,3,5,98,Don't know,2,2,True,98,Don't know,Don't know,$250,Sell at a loss,No,Yes,0.609443224,2,3,2,2,2,6,3,9,0,No Response Given,0,3,0,2,0,3,3,2,0,5.0,0,2,0,0,38.0,Below Average
2018013733,Primary decision-maker,1,1,2,Yes,1,2,2,No,No,2,No,No,No,No,11 times or more,"$100,000 to < $250,000",No,No Response Given,No Response Given,No,3,More than half,No,No Response Given,No Response Given,No Response Given,Never,Never,Frequently,Frequently,Never,No Response Given,Never,Never,Sometimes,Never,No,Yes,Yes,Yes,0.5% to < 1%,9.0,No,No,7,7,5% to 9.9%,1,Neither,Buy,6,3,No,Protecting institutions,Access on Internet,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No Response Given,Yes,No Response Given,8,6,6,1,Lent money to the company,2,1,False,1,Lower fees/expenses,Can be tax-free,$0,Sell at a loss,Yes,Yes,0.874876747,2,2,2,2,3,8,6,7,7,9.0,1,3,1,1,1,3,3,2,1,No Response Given,2,2,2,2,61.0,Average
2018013756,Share decision-making,1,1,1,Don't know,98,98,98,Don't know,Don't know,98,Don't know,Don't know,Don't know,Don't know,None,"$25,000 to < $50,000",Don't know,No Response Given,No Response Given,Yes,98,Less than half,Don't know,No Response Given,No Response Given,No Response Given,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,98.0,Sometimes,Sometimes,Never,Sometimes,Don't know,Don't know,Don't know,Don't know,2% to < 4%,4.0,No,No,1,1,Don't know,98,Don't know,Don't know,7 - Strongly agree,8,Don't know,Protecting investors,Paper mail,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,No,Don't know,Don't know,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,6,1,6,1,Don't know,98,98,Don't know,2,Don't know,Don't know,Don't know,Don't know,Yes,Yes,1.493157591,2,2,2,1,2,6,1,1,1,4.0,3,0,0,0,0,3,3,0,0,0.0,2,0,0,0,24.0,Low
2018013770,Share decision-making,1,1,1,No,1,2,2,No,No,2,No,No,No,No,None,"$10,000 to < $25,000",Yes,No,No Response Given,No,2,More than half,Yes,Extremely risky,No,No,Never,Sometimes,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,No,No,Yes,No,0.5% to < 1%,10.0,Yes,No,10,4,5% to 9.9%,3,Bought,Buy,5,5,No,Both,Email delivery,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No Response Given,7,5,7 - Strongly agree,1,Lent money to the company,2,1,False,1,Lower fees/expenses,Can be tax-free,$500,Sell at a loss,Yes,Yes,1.493157591,2,2,2,1,3,7,5,10,4,10.0,3,3,1,1,1,3,3,4,5,No Response Given,2,2,2,2,68.0,Average
2018013773,Share decision-making,1,1,1,Don't know,1,2,98,Don't know,No,98,Don't know,Yes,Don't know,Don't know,None,"$1,000,000 or more",Don't know,No Response Given,No Response Given,No,1,More than half,Yes,Moderately risky,No,Don't know,Frequently,Never,Never,Never,Never,2.0,Never,Never,Never,Never,No,Yes,Don't know,Don't know,Don't know,No Response Given,Yes,No,10,6,Don't know,3,Neither,Don't know,1 - Strongly disagree,8,Don't know,Both,In-person meeting,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Response Given,No Response Given,No Response Given,5,3,4 - Neither agree nor disagree,1,Don't know,98,1,True,98,Don't know,Don't know,Don't know,Sell at a loss,Yes,Yes,1.566607663,2,1,2,2,3,5,3,10,6,No Response Given,3,3,1,0,0,3,3,5,5,3.0,2,0,2,0,54.0,Average
2018013849,Primary decision-maker,1,1,1,No,1,1,2,No,No,1,No,No,No,No,1 to 3 times,"$250,000 to < $500,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Never,Sometimes,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,Yes,Yes,Yes,No,1% to < 2%,5.0,No,No,7,3,0% to 4.9%,2,Bought,Buy,5,4,No,Both,Email delivery,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No Response Given,No,No Response Given,6,5,4 - Neither agree nor disagree,1,Lent money to the company,2,1,False,1,Lower fees/expenses,Can be tax-free,Don't know,Sell borrowed shares,Yes,Yes,0.609443224,2,3,2,2,2,6,5,7,3,5.0,3,3,3,1,3,3,3,2,3,No Response Given,2,2,2,2,58.0,Average
2018013884,Primary decision-maker,1,1,1,Yes,2,2,2,No,Yes,2,No,No,Yes,Yes,1 to 3 times,"$25,000 to < $50,000",No,No Response Given,No Response Given,Yes,1,Less than half,Yes,Slightly risky,Yes,Yes,Frequently,Sometimes,Frequently,Sometimes,Frequently,1.0,Sometimes,Sometimes,Prefer not to say,Sometimes,No,Yes,Yes,Yes,0.5% to < 1%,8.0,No,Yes,9,6,10% to 14.9%,2,Bought,Sell,7 - Strongly agree,9,No,Both,In-person meeting,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,9,5,7 - Strongly agree,3,Lent money to the company,2,1,True,2,Lower fees/expenses,Lower risk,$250,Sell before peak,Yes,Yes,2.714459446,2,1,1,1,1,9,5,9,6,8.0,3,1,1,1,1,3,3,5,3,5.0,0,2,2,0,67.0,Average
2018013910,Primary decision-maker,99,1,1,Yes,2,1,2,No,No,2,No,No,No,No,1 to 3 times,"Less than $2,000",Don't know,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Frequently,Never,Sometimes,Frequently,Frequently,1.0,Never,Never,Frequently,Frequently,No,Yes,No,Yes,Less than 0.5%,4.0,Don't know,No,6,4,< 0%,2,Neither,Neither,7 - Strongly agree,4,No,Don't know,Email delivery,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Don't know,Don't know,Don't know,Yes,Yes,Don't know,Don't know,Don't know,No Response Given,No,No Response Given,3,3,4 - Neither agree nor disagree,1,Lent money to the company,2,1,False,98,Don't know,Can be tax-free,$0,Sell at a loss,No,Yes,0.874876747,1,2,2,2,1,3,3,6,4,4.0,3,1,3,1,1,0,3,2,3,5.0,2,2,2,0,48.0,Below Average
2018013931,Primary decision-maker,1,1,1,No,1,1,1,No,Yes,2,No,No,No,No,11 times or more,"$100,000 to < $250,000",Yes,No,No Response Given,No,2,More than half,Yes,Very risky,No,Yes,Sometimes,Frequently,Frequently,Never,Never,1.0,Never,Never,Frequently,Frequently,No,Yes,No,No,0.5% to < 1%,9.0,No,No,7,7,0% to 4.9%,2,Bought,Buy,6,5,No,Protecting investors,Email delivery,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No Response Given,Yes,No,8,6,6,1,Lent money to the company,2,1,False,1,Less risky short term,Lower risk,$500,Sell borrowed shares,Yes,No,0.874876747,1,2,2,2,2,8,6,7,7,9.0,3,3,3,2,1,3,3,4,3,5.0,2,2,2,2,75.0,High
2018013948,Primary decision-maker,1,1,99,Yes,98,99,1,Prefer not to say,Yes,99,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,None,"$5,000 to < $10,000",No,No Response Given,No Response Given,Yes,3,Less than half,Prefer not to say,No Response Given,No Response Given,No Response Given,Sometimes,Never,Sometimes,Sometimes,Sometimes,99.0,Never,Sometimes,Sometimes,Sometimes,Yes,Yes,No,No,Prefer not to say,No Response Given,No,Prefer not to say,8,8,Don't know,2,Neither,Neither,4 - Neither agree nor disagree,8,Prefer not to say,Both,None of the above,Prefer not to say,No,Prefer not to say,No,Prefer not to say,No,No,No,Yes,No,No,No,No,No,No,No,Don't know,No,Prefer not to say,Prefer not to say,Don't know,Don't know,No,No,No Response Given,No Response Given,No Response Given,8,6,6,99,Own a part of the company,99,1,True,99,Less likely to decline,Don't know,$0,Sell before peak,No,Prefer not to say,0.874876747,1,2,1,2,2,8,6,8,8,No Response Given,0,0,0,2,0,3,3,2,3,0.0,0,0,2,0,45.0,Below Average
2018013953,Primary decision-maker,1,1,1,No,1,2,2,No,No,2,No,Yes,No,No,4 to 10 times,"$25,000 to < $50,000",No,No Response Given,No Response Given,No,2,Less than half,Yes,Very risky,Yes,Yes,Never,Sometimes,Frequently,Sometimes,Sometimes,No Response Given,Sometimes,Never,Frequently,Sometimes,No,No,No,No,Less than 0.5%,10.0,No,No,10,10,10% to 14.9%,3,Neither,Neither,4 - Neither agree nor disagree,8,Yes,Both,Email delivery,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,9,5,6,1,Lent money to the company,3,1,True,1,Less risky short term,Greater demand,$0,Sell at a loss,Yes,Yes,0.609443224,1,3,2,2,2,9,5,10,10,10.0,3,3,1,1,1,3,3,4,5,No Response Given,2,0,2,2,74.0,High
2018013962,Primary decision-maker,2,1,1,Don't know,98,1,98,No,No,2,No,No,No,No,11 times or more,"Less than $2,000",No,No Response Given,No Response Given,No,3,Don't know,Yes,Very risky,No,Don't know,Frequently,Never,Never,Frequently,Frequently,2.0,Never,Never,Never,Never,No,No,No,Yes,0.5% to < 1%,5.0,No,No,8,8,10% to 14.9%,2,Bought,Neither,4 - Neither agree nor disagree,7,Yes,Both,Email delivery,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No Response Given,No Response Given,No Response Given,8,5,5,1,Lent money to the company,98,1,True,98,Don't know,Don't know,Don't know,Sell at a loss,No,Yes,0.609443224,1,3,1,2,1,8,5,8,8,5.0,3,0,3,0,1,1,3,2,3,3.0,2,0,2,0,57.0,Average
2018013973,Primary decision-maker,1,1,1,Yes,1,98,1,Don't know,Yes,98,Don't know,Don't know,No,Yes,1 to 3 times,"$100,000 to < $250,000",Don't know,No Response Given,No Response Given,Don't know,3,Don't know,Yes,Don't know,Don't know,Don't know,Frequently,Frequently,Frequently,Never,Never,1.0,Frequently,Never,Frequently,Never,No,Don't know,Yes,Yes,Less than 0.5%,7.0,No,No,6,6,Don't know,2,Neither,Neither,3,7,Don't know,Both,In-person meeting,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No Response Given,Yes,Don't know,6,5,5,1,Lent money to the company,2,1,True,98,Don't know,Don't know,$500,Don't know,Yes,Yes,0.874876747,2,2,1,2,1,6,5,6,6,7.0,3,3,0,2,0,3,3,2,3,5.0,2,2,2,0,60.0,Average
2018013979,Primary decision-maker,1,1,1,Yes,2,2,2,No,No,2,No,No,No,No,4 to 10 times,"$2,000 to < $5,000",No,No Response Given,No Response Given,No,3,Less than half,Yes,Extremely risky,No,No,Sometimes,Sometimes,Frequently,Frequently,Sometimes,1.0,Sometimes,Sometimes,Frequently,Sometimes,No,Yes,No,Yes,Less than 0.5%,9.0,No,No,6,1,5% to 9.9%,2,Bought,Buy,2,2,No,Both,Paper mail,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No Response Given,Yes,No Response Given,7,4,5,1,Lent money to the company,2,1,True,4,Less likely to decline,Lower risk,Don't know,Don't know,Yes,Yes,1.493157591,2,2,2,1,2,7,4,6,1,9.0,3,1,1,1,1,3,3,2,3,5.0,2,2,2,0,56.0,Average
2018013991,Primary decision-maker,2,1,1,No,2,2,2,No,No,1,No,No,No,No,1 to 3 times,"$500,000 to < $1,000,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Very risky,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,No,Yes,No,No,Less than 0.5%,8.0,No,No,8,8,Don't know,2,Neither,Neither,4 - Neither agree nor disagree,8,Yes,Both,Paper mail,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No Response Given,No,No,8,5,7 - Strongly agree,1,Lent money to the company,2,1,False,1,Don't know,Don't know,Don't know,Don't know,No,Yes,0.910655279,1,3,1,1,1,8,5,8,8,8.0,3,1,1,1,3,1,3,2,3,No Response Given,2,2,2,2,63.0,Average
2018014002,Primary decision-maker,1,1,1,No,2,2,2,No,No,1,No,Yes,No,No,11 times or more,"$100,000 to < $250,000",No,No Response Given,No Response Given,No,2,More than half,Yes,Extremely risky,No,No,Never,Never,Frequently,Never,Never,No Response Given,Never,Never,Frequently,Never,No,Yes,No,No,Do not pay any fees,10.0,No,No,7,6,5% to 9.9%,2,Neither,Neither,5,7,Yes,Both,Email delivery,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,9,5,6,1,Lent money to the company,2,1,True,1,Don't know,Can be tax-free,$250,Sell at a loss,No,Yes,0.609443224,1,3,1,2,1,9,5,7,6,10.0,3,1,1,1,3,3,3,4,3,No Response Given,2,2,2,2,67.0,Average
2018014019,Share decision-making,2,1,1,Yes,1,2,2,No,No,2,No,No,No,No,Don't know,"$1,000,000 or more",No,No Response Given,No Response Given,Yes,3,Don't know,Yes,Very risky,No,No,Frequently,Never,Never,Never,Never,2.0,Never,Never,Never,Never,No,No,No,Yes,4% or more,7.0,Yes,Don't know,9,8,Don't know,2,Don't know,Don't know,2,8,Yes,Protecting institutions,Paper mail,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,2,3,4 - Neither agree nor disagree,1,Don't know,1,1,True,1,Don't know,Don't know,$500,Sell at a loss,Yes,No,0.910655279,2,3,1,1,3,2,3,9,8,7.0,3,3,1,1,1,1,3,2,3,3.0,2,0,2,2,56.0,Average
2018014021,Primary decision-maker,2,1,1,No,2,2,2,No,No,2,No,No,No,No,Prefer not to say,Prefer not to say,Prefer not to say,No Response Given,No Response Given,Prefer not to say,3,Prefer not to say,Yes,Very risky,No,Don't know,Never,Never,Sometimes,Never,Never,No Response Given,Never,Never,Never,Sometimes,No,No,No,No,Prefer not to say,No Response Given,No,No,98,98,Don't know,98,Neither,Don't know,2,Don't know,Don't know,Don't know,Paper mail,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,4,3,5,1,Don't know,98,98,True,98,Don't know,Don't know,Don't know,Don't know,Yes,Yes,2.714459446,1,1,2,1,1,4,3,0,0,No Response Given,3,1,1,1,1,1,3,2,0,No Response Given,2,0,0,0,22.0,Low
2018014040,Primary decision-maker,2,1,2,Yes,2,2,2,No,No,2,No,No,No,No,None,"Less than $2,000",No,No Response Given,No Response Given,No,4,None,Yes,Moderately risky,No,No,Never,Never,Never,Frequently,Never,No Response Given,Never,Never,Frequently,Never,No,No,No,No,Do not pay any fees,7.0,Yes,No,9,98,Don't know,2,Neither,Buy,2,4,Don't know,Both,Paper mail,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No Response Given,No,No Response Given,6,3,5,1,Lent money to the company,98,2,True,1,Don't know,Don't know,$500,Don't know,Yes,Yes,0.609443224,2,3,2,2,1,6,3,9,0,7.0,1,1,1,1,1,1,3,1,3,No Response Given,2,0,0,2,42.0,Below Average
2018014087,Primary decision-maker,1,1,1,Yes,2,2,2,Don't know,Yes,2,No,No,No,No,None,"$250,000 to < $500,000",Don't know,No Response Given,No Response Given,Yes,2,Less than half,Yes,Very risky,No,Yes,Sometimes,Frequently,Sometimes,Never,Never,2.0,Sometimes,Sometimes,Never,Never,No,Don't know,No,Don't know,0.5% to < 1%,8.0,Yes,Don't know,7,5,Don't know,3,Neither,Neither,3,7,Don't know,Both,Paper mail,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Don't know,No,No,Yes,No Response Given,7,4,5,4,Can vote on shareholder resolutions,98,1,False,98,Don't know,Lower risk,$250,Sell before peak,No,Yes,1.493157591,2,2,1,1,3,7,4,7,5,8.0,3,1,1,1,1,3,3,4,5,3.0,0,0,2,0,58.0,Average
2018014096,Primary decision-maker,2,1,1,No,2,2,2,No,Yes,2,No,No,No,No,None,"$5,000 to < $10,000",No,No Response Given,No Response Given,No,3,More than half,Yes,Extremely risky,No,No,Never,Never,Sometimes,Never,Never,No Response Given,Never,Never,Never,Never,No,Yes,No,No,Do not pay any fees,10.0,No,No,8,8,Don't know,2,Neither,Neither,2,8,No,Both,Access on Internet,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,7,5,5,4,Can vote on shareholder resolutions,2,1,True,98,Don't know,Don't know,Don't know,Don't know,No,Yes,1.493157591,2,2,1,1,2,7,5,8,8,10.0,3,1,1,1,1,1,3,2,3,No Response Given,0,2,2,0,58.0,Average
2018014104,Primary decision-maker,1,1,1,No,1,1,1,Yes,Yes,1,Don't know,No,No,No,4 to 10 times,"$250,000 to < $500,000",Yes,Yes,No,Yes,3,More than half,Yes,Moderately risky,Yes,Yes,Frequently,Frequently,Frequently,Frequently,Frequently,1.0,Sometimes,Frequently,Sometimes,Frequently,Yes,Yes,Yes,Yes,Less than 0.5%,10.0,Yes,Yes,10,10,10% to 14.9%,3,Bought,Buy,2,8,Yes,Both,In-person meeting,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,9,6,7 - Strongly agree,4,Own a part of the company,1,1,True,4,Less risky short term,Lower risk,$250,Sell at a loss,Yes,Yes,1.493157591,2,2,2,1,3,9,6,10,10,10.0,3,3,3,2,3,3,3,2,5,5.0,0,0,2,0,79.0,High
2018014105,Primary decision-maker,1,1,1,Yes,1,1,2,No,No,2,No,No,No,No,11 times or more,"$100,000 to < $250,000",Yes,No,No Response Given,Yes,2,More than half,No,No Response Given,No Response Given,No Response Given,Frequently,Frequently,Sometimes,Sometimes,Never,2.0,Sometimes,Sometimes,Sometimes,Never,Yes,Yes,Yes,Yes,0.5% to < 1%,8.0,Yes,No,6,7,5% to 9.9%,2,Neither,Neither,4 - Neither agree nor disagree,3,No,Both,Paper mail,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No Response Given,Yes,7,6,5,1,Lent money to the company,2,1,False,1,Lower fees/expenses,Can be tax-free,$250,Sell borrowed shares,No,Yes,0.609443224,1,3,1,2,2,7,6,6,7,8.0,3,3,3,1,1,3,3,4,3,3.0,2,2,2,2,69.0,Average
2018014106,Primary decision-maker,1,1,1,Yes,2,1,1,Yes,No,2,Don't know,Yes,Don't know,Don't know,None,"$50,000 to < $100,000",Yes,Prefer not to say,No Response Given,Yes,1,Prefer not to say,Yes,Moderately risky,No,No,Frequently,Frequently,Never,Never,Never,1.0,Sometimes,Frequently,Never,Never,Yes,Yes,Yes,Yes,1% to < 2%,7.0,Yes,No,7,7,20% or more,3,Neither,Neither,7 - Strongly agree,10 - Extremely confident,Yes,Both,In-person meeting,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No Response Given,Yes,No,7,5,7 - Strongly agree,1,Own a part of the company,3,1,True,5,Lower fees/expenses,Don't know,$250,Sell soon after buying,Yes,Yes,2.714459446,1,1,2,1,2,7,5,7,7,7.0,3,1,3,2,1,3,3,5,5,5.0,2,0,2,0,68.0,Average
2018014150,Primary decision-maker,1,1,1,No,1,2,2,No,No,2,No,No,No,No,4 to 10 times,"$10,000 to < $25,000",No,No Response Given,No Response Given,No,2,More than half,Yes,Extremely risky,No,No,Never,Never,Frequently,Sometimes,Never,No Response Given,Never,Never,Frequently,Never,No,Yes,Yes,No,Less than 0.5%,9.0,No,Yes,8,4,5% to 9.9%,3,Neither,Buy,3,3,No,Both,Paper mail,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,7,5,4 - Neither agree nor disagree,1,Lent money to the company,2,1,Don't know,1,Lower fees/expenses,Lower risk,$250,Sell borrowed shares,Yes,Yes,0.609443224,2,3,1,2,2,7,5,8,4,9.0,3,3,1,1,1,3,3,4,5,No Response Given,2,2,2,2,65.0,Average
2018014152,Primary decision-maker,1,1,2,Yes,2,2,2,No,No,2,No,No,No,No,11 times or more,"$10,000 to < $25,000",No,No Response Given,No Response Given,No,1,Less than half,Yes,Moderately risky,No,No,Never,Sometimes,Frequently,Never,Never,No Response Given,Never,Never,Sometimes,Never,No,No,No,No,Do not pay any fees,10.0,No,No,10,5,5% to 9.9%,3,Neither,Neither,1 - Strongly disagree,10 - Extremely confident,Yes,Both,Paper mail,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No Response Given,No,No Response Given,8,6,7 - Strongly agree,1,Lent money to the company,3,1,True,1,Less likely to decline,Lower risk,$250,Sell soon after buying,Yes,Yes,1.493157591,1,2,1,1,2,8,6,10,5,10.0,1,1,1,1,1,3,3,5,5,No Response Given,2,0,2,2,66.0,Average
2018014153,Share decision-making,1,1,1,Yes,1,98,2,No,No,98,Don't know,Don't know,Don't know,Don't know,4 to 10 times,"$25,000 to < $50,000",Don't know,No Response Given,No Response Given,Prefer not to say,3,None,Yes,Slightly risky,Yes,Don't know,Never,Never,Frequently,Sometimes,Sometimes,No Response Given,Never,Never,Sometimes,Sometimes,No,No,Yes,No,Less than 0.5%,9.0,No,No,9,7,10% to 14.9%,3,Don't know,Neither,4 - Neither agree nor disagree,10 - Extremely confident,Don't know,Both,Email delivery,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No Response Given,7,6,6,4,Own a part of the company,98,1,False,1,Don't know,Lower risk,$500,Sell at a loss,Yes,No,2.714459446,2,1,2,1,1,7,6,9,7,9.0,3,3,0,1,0,3,3,2,5,No Response Given,0,0,2,2,62.0,Average
